2025-08-21 00:57:07.399 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:57:07.399 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:57:07.401 | ERROR    | __main__:activation_polling:98 - Error in activation response handler: 'builtins.Keypair' object is not subscriptable
2025-08-21 00:57:11.940 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:57:12.390 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:57:12.390 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:57:12.392 | ERROR    | __main__:activation_polling:98 - Error in activation response handler: 'builtins.Keypair' object is not subscriptable
2025-08-21 00:57:16.946 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:57:17.283 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:57:17.283 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:57:17.284 | ERROR    | __main__:activation_polling:98 - Error in activation response handler: 'builtins.Keypair' object is not subscriptable
2025-08-21 00:57:21.952 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:57:22.304 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:57:22.304 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:57:22.306 | ERROR    | __main__:activation_polling:98 - Error in activation response handler: 'builtins.Keypair' object is not subscriptable
2025-08-21 00:57:26.957 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
